category,strategy,solver,n_iters,converged,wall_time,final_pos_err_mm,final_orient_err_deg
general,cold,DLS,14,True,0.042894601821899414,4.1999373,0.04290993884205818
general,cold,DLS,300,False,0.9577012062072754,51.349216,18.56315040588379
general,cold,DLS,25,True,0.07762289047241211,4.5486407,0.0
general,cold,DLS,49,True,0.1476132869720459,4.9871025,0.048238907009363174
general,cold,DLS,300,False,1.0173933506011963,191.71646,0.5262683033943176
general,cold,DLS,71,True,0.23217368125915527,4.722696,0.03827285021543503
general,cold,DLS,18,True,0.06077837944030762,4.781585,0.053215011954307556
general,cold,DLS,300,False,0.9370737075805664,222.31133,9.437070846557617
general,cold,DLS,20,True,0.06441926956176758,4.910007,0.08962739259004593
general,cold,DLS,19,True,0.07253623008728027,4.648756,0.0
general,cold,DLS,18,True,0.05941581726074219,4.5539603,0.05534699931740761
general,cold,DLS,9,True,0.03833413124084473,4.4176908,0.0506550669670105
general,cold,DLS,300,False,0.9748725891113281,33.566845,0.15019533038139343
general,cold,DLS,14,True,0.04288601875305176,4.7259436,0.0
general,cold,DLS,14,True,0.04320120811462402,4.5904646,0.0
general,cold,DLS,29,True,0.08636999130249023,4.760663,0.03459399938583374
general,cold,DLS,30,True,0.0888679027557373,4.867849,0.03796772286295891
general,cold,DLS,18,True,0.055634498596191406,4.590842,0.1268567442893982
general,cold,DLS,21,True,0.07219672203063965,4.858555,0.026570575311779976
general,cold,DLS,34,True,0.11607003211975098,4.7771916,0.1194940060377121
general,cold,DLS,300,False,0.9275808334350586,33.94834,6.436854362487793
general,cold,DLS,24,True,0.07374715805053711,4.959846,0.026827041059732437
general,cold,DLS,300,False,0.9067792892456055,9.053948,0.07473701238632202
general,cold,DLS,11,True,0.04457402229309082,4.895002,0.04250624030828476
general,cold,DLS,300,False,0.9682517051696777,143.70059,1.083247423171997
general,cold,DLS,300,False,0.9278333187103271,14.697786,0.06246895343065262
general,cold,DLS,15,True,0.04904961585998535,4.2453556,0.0
general,cold,DLS,35,True,0.11252093315124512,4.642313,0.0401485450565815
general,cold,DLS,89,True,0.27254271507263184,4.7925653,0.07502137124538422
general,cold,DLS,300,False,0.9550173282623291,47.21251,2.8553850650787354
general,cold,DLS,11,True,0.03399014472961426,3.7698662,0.05347495526075363
general,cold,DLS,115,True,0.3598062992095947,4.8549037,0.044797055423259735
general,cold,DLS,10,True,0.028552770614624023,3.1089604,0.026835590600967407
general,cold,DLS,19,True,0.06275439262390137,4.880755,0.06474228203296661
general,cold,DLS,16,True,0.04896140098571777,4.0708556,0.0
general,cold,DLS,11,True,0.03487133979797363,3.5088158,0.0
general,cold,DLS,21,True,0.07033467292785645,4.903755,0.0
general,cold,DLS,56,True,0.17701029777526855,4.64575,0.08542618155479431
general,cold,DLS,300,False,0.9127750396728516,22.012655,3.2765586376190186
general,cold,DLS,300,False,0.9185070991516113,150.34662,0.5198853611946106
general,cold,DLS,61,True,0.21861743927001953,4.909601,0.027415849268436432
general,cold,DLS,13,True,0.04567456245422363,4.6583576,0.027530040591955185
general,cold,DLS,22,True,0.06418633460998535,4.876081,0.08497151732444763
general,cold,DLS,17,True,0.049866437911987305,4.8196044,0.09839963167905807
general,cold,DLS,52,True,0.17092561721801758,4.72116,0.06671846657991409
general,cold,DLS,26,True,0.08613419532775879,4.021093,0.0
general,cold,DLS,300,False,0.9326348304748535,123.01377,66.2411880493164
general,cold,DLS,25,True,0.0737147331237793,4.86851,0.12668828666210175
general,cold,DLS,20,True,0.05966019630432129,4.877503,0.04186856374144554
general,cold,DLS,93,True,0.3407323360443115,4.9620676,0.16390615701675415
general,cold,DLS,300,False,0.8801524639129639,14.043873,0.0433388352394104
general,cold,DLS,300,False,0.9657516479492188,144.8911,0.8813390731811523
general,cold,DLS,52,True,0.16051602363586426,4.8883176,0.0
general,cold,DLS,300,False,0.959092378616333,22.77366,1.629058837890625
general,cold,DLS,16,True,0.06400799751281738,4.851887,0.05469997227191925
general,cold,DLS,61,True,0.19494152069091797,4.9987416,0.0
general,cold,DLS,21,True,0.0657649040222168,3.8633754,0.09312345087528229
general,cold,DLS,31,True,0.09329009056091309,4.5063233,0.03810427710413933
general,cold,DLS,300,False,0.8914206027984619,25.055477,1.8530234098434448
general,cold,DLS,300,False,0.917473316192627,7.641636,0.051697541028261185
general,cold,DLS,11,True,0.03853011131286621,3.1958382,0.0
general,cold,DLS,19,True,0.061620473861694336,4.3498297,0.03715919703245163
general,cold,DLS,9,True,0.03984570503234863,4.429478,0.06238881126046181
general,cold,DLS,61,True,0.20131683349609375,4.7893553,0.03967691957950592
general,cold,DLS,13,True,0.0441131591796875,3.685389,0.025443369522690773
general,cold,DLS,58,True,0.21555185317993164,4.8946443,0.04246186465024948
general,cold,DLS,25,True,0.08188414573669434,4.7329235,0.03243907541036606
general,cold,DLS,33,True,0.10552287101745605,4.9962635,0.14287540316581726
general,cold,DLS,300,False,0.8831825256347656,37.281033,0.07879593968391418
general,cold,DLS,70,True,0.22454571723937988,4.9563465,0.043552033603191376
general,cold,DLS,193,True,0.5877094268798828,4.79771,0.0
general,cold,DLS,29,True,0.08896112442016602,4.28783,0.0
general,cold,DLS,300,False,0.8919074535369873,71.876915,0.9312334060668945
general,cold,DLS,34,True,0.09949636459350586,4.918465,0.06812267005443573
general,cold,DLS,35,True,0.10915493965148926,4.8410287,0.0
general,cold,DLS,29,True,0.08799576759338379,4.5872273,0.03990941494703293
general,cold,DLS,7,True,0.030337810516357422,3.2613726,0.1234893724322319
general,cold,DLS,29,True,0.08936905860900879,4.630055,0.05949508771300316
general,cold,DLS,22,True,0.07136940956115723,3.8510625,0.03093758039176464
general,cold,DLS,300,False,0.9416143894195557,38.71263,11.363330841064453
general,cold,DLS,23,True,0.07189130783081055,4.3831744,0.0
general,cold,DLS,43,True,0.13461780548095703,4.9974194,0.05859552323818207
general,cold,DLS,15,True,0.04441952705383301,4.2888083,0.0501071996986866
general,cold,DLS,25,True,0.0712120532989502,4.384301,0.04247177764773369
general,cold,DLS,40,True,0.11915445327758789,4.893706,0.03943625092506409
general,cold,DLS,300,False,0.9193227291107178,12.487106,5.021320819854736
general,cold,DLS,18,True,0.05346274375915527,4.536954,0.0
general,cold,DLS,51,True,0.15292596817016602,4.203228,0.044828493148088455
general,cold,DLS,13,True,0.03900551795959473,4.080121,0.0
general,cold,DLS,33,True,0.09808588027954102,4.6485076,0.0
general,cold,DLS,20,True,0.062456607818603516,3.7929835,0.04997989162802696
general,cold,DLS,300,False,0.9121541976928711,81.459076,38.44632339477539
general,cold,DLS,300,False,0.9062116146087646,10.991428,0.9450710415840149
general,cold,DLS,300,False,0.9610204696655273,80.38564,8.24506950378418
general,cold,DLS,35,True,0.11046218872070312,4.86732,0.051139842718839645
general,cold,DLS,22,True,0.06571674346923828,4.2459154,0.05935169756412506
general,cold,DLS,76,True,0.24950003623962402,4.708969,0.05049348995089531
general,cold,DLS,15,True,0.04494166374206543,4.605791,0.038519181311130524
general,cold,DLS,30,True,0.09287643432617188,4.9343257,0.03934914618730545
general,cold,DLS,16,True,0.047832489013671875,4.1931357,0.055342767387628555
general,cold,DLS,300,False,0.9034388065338135,26.208138,0.0
general,cold,DLS,300,False,0.9170205593109131,99.18067,9.670672416687012
general,cold,DLS,300,False,0.9919545650482178,578.7517,10.719781875610352
general,cold,DLS,37,True,0.1136312484741211,4.9968724,0.041546329855918884
general,cold,DLS,300,False,0.9598309993743896,429.5025,8.195232391357422
general,cold,DLS,29,True,0.08564496040344238,4.5438905,0.0501256100833416
general,cold,DLS,16,True,0.04941511154174805,4.435622,0.0
general,cold,DLS,300,False,0.9043478965759277,135.09857,0.803966760635376
general,cold,DLS,300,False,0.8981080055236816,78.196785,7.465290546417236
general,cold,DLS,43,True,0.1417067050933838,4.8415594,0.037911560386419296
general,cold,DLS,29,True,0.08421945571899414,4.4594707,0.05933507904410362
general,cold,DLS,300,False,0.9072539806365967,79.942726,9.606572151184082
general,cold,DLS,12,True,0.0381474494934082,3.3258452,0.05025213211774826
general,cold,DLS,300,False,0.9390256404876709,46.879745,5.309155464172363
general,cold,DLS,300,False,0.9150035381317139,29.07494,0.08798576146364212
general,cold,DLS,24,True,0.07997488975524902,4.053517,0.014945648610591888
general,cold,DLS,54,True,0.15793752670288086,4.679392,0.06979086250066757
general,cold,DLS,47,True,0.14076638221740723,4.941824,0.04809221997857094
general,cold,DLS,30,True,0.09292912483215332,4.372717,0.0
general,cold,DLS,14,True,0.04902815818786621,4.2287326,0.050435055047273636
general,cold,DLS,43,True,0.1395258903503418,4.2127476,0.07033555209636688
general,cold,DLS,11,True,0.033182621002197266,4.815277,0.027894921600818634
general,cold,DLS,13,True,0.038840532302856445,3.4832962,0.06056457757949829
general,cold,DLS,11,True,0.03497672080993652,4.2144413,0.04875357076525688
general,cold,DLS,37,True,0.13302350044250488,4.977435,0.033873628824949265
general,cold,DLS,18,True,0.05617046356201172,4.8568535,0.0
general,cold,DLS,15,True,0.0475156307220459,3.928225,0.028816966339945793
general,cold,DLS,300,False,0.923729658126831,258.551,19.63055992126465
general,cold,DLS,25,True,0.07659125328063965,4.091879,0.0
general,cold,DLS,65,True,0.19686532020568848,4.7852635,0.07164892554283142
general,cold,DLS,84,True,0.2540438175201416,4.8001323,0.06905616074800491
general,cold,DLS,20,True,0.05736732482910156,3.6783125,0.053490132093429565
general,cold,DLS,22,True,0.0691826343536377,4.06059,0.03418127819895744
general,cold,DLS,27,True,0.10470867156982422,4.624814,0.05862773209810257
general,cold,DLS,300,False,0.9667394161224365,314.70923,90.90400695800781
general,cold,DLS,300,False,0.9457802772521973,82.17458,1.961931586265564
general,cold,DLS,15,True,0.04722881317138672,3.7905078,0.0
general,cold,DLS,37,True,0.11490130424499512,4.6627316,0.17931737005710602
general,cold,DLS,300,False,0.9129354953765869,121.93796,21.89682960510254
general,cold,DLS,300,False,0.9366848468780518,120.09125,0.7653858065605164
general,cold,DLS,108,True,0.3341825008392334,4.8089004,0.08252836018800735
general,cold,DLS,15,True,0.05152702331542969,3.4039662,0.0
general,cold,DLS,9,True,0.03901243209838867,4.591773,0.0
general,cold,DLS,15,True,0.061025142669677734,4.912028,0.3496387004852295
general,cold,DLS,22,True,0.06803774833679199,4.5081143,0.043678514659404755
general,cold,DLS,40,True,0.13740754127502441,4.8573446,0.12922878563404083
general,cold,DLS,300,False,0.9636800289154053,145.70798,0.6594363451004028
general,cold,DLS,17,True,0.05046844482421875,4.99122,0.0523451492190361
general,cold,DLS,68,True,0.22434115409851074,4.867253,0.0589151605963707
general,cold,DLS,15,True,0.04595041275024414,4.110409,0.05851837620139122
general,cold,DLS,21,True,0.06891012191772461,3.4886723,0.018483219668269157
general,cold,DLS,17,True,0.05058717727661133,4.911865,0.04670682176947594
general,cold,DLS,29,True,0.08931970596313477,4.663036,0.09540843218564987
general,cold,DLS,300,False,0.9176480770111084,101.75074,23.23297882080078
general,cold,DLS,59,True,0.18544554710388184,4.999067,0.05038819834589958
general,cold,DLS,21,True,0.06580424308776855,4.951086,0.0467330701649189
general,cold,DLS,14,True,0.04665780067443848,4.080562,0.03832150623202324
general,cold,DLS,22,True,0.06970596313476562,4.1714115,0.049307990819215775
general,cold,DLS,300,False,0.947317361831665,29.015596,6.549817085266113
general,cold,DLS,300,False,0.9936435222625732,41.88159,9.369226455688477
general,cold,DLS,33,True,0.11832380294799805,4.290344,0.14569103717803955
general,cold,DLS,17,True,0.0598599910736084,3.855108,0.0
general,cold,DLS,7,True,0.02306056022644043,3.8727229,0.069206103682518
general,cold,DLS,300,False,0.9329450130462646,82.39854,0.24838422238826752
general,cold,DLS,18,True,0.05650663375854492,4.238794,0.04877858981490135
general,cold,DLS,36,True,0.1108083724975586,4.9678144,0.0
general,cold,DLS,300,False,0.9387466907501221,69.74837,1.5594500303268433
general,cold,DLS,101,True,0.30983471870422363,4.464756,0.05347822979092598
general,cold,DLS,12,True,0.038106679916381836,4.0255766,0.0487750768661499
general,cold,DLS,30,True,0.0896604061126709,4.5148234,0.1466694474220276
general,cold,DLS,34,True,0.11649012565612793,4.9751015,0.04909142479300499
general,cold,DLS,49,True,0.16604924201965332,4.7192497,0.036945655941963196
general,cold,DLS,21,True,0.09807491302490234,4.349845,0.2279382050037384
general,cold,DLS,24,True,0.07680177688598633,3.0300605,0.09746147692203522
general,cold,DLS,300,False,0.9633305072784424,114.55744,39.256778717041016
general,cold,DLS,300,False,0.9806010723114014,169.94992,16.12201690673828
general,cold,DLS,300,False,0.9352355003356934,76.503136,0.3528295159339905
general,cold,DLS,14,True,0.04380297660827637,3.5472686,0.05198227986693382
general,cold,DLS,19,True,0.05644536018371582,4.285544,0.016313761472702026
general,cold,DLS,29,True,0.08846640586853027,4.7158723,0.0
general,cold,DLS,12,True,0.0370638370513916,3.887486,0.06284938007593155
general,cold,DLS,45,True,0.13846039772033691,4.9837008,0.06124657019972801
general,cold,DLS,300,False,0.9608664512634277,194.84007,2.4136550426483154
general,cold,DLS,53,True,0.1665341854095459,4.543957,0.048566460609436035
general,cold,DLS,71,True,0.2203371524810791,4.8638425,0.03434845060110092
general,cold,DLS,30,True,0.10389471054077148,3.7998145,0.043974265456199646
general,cold,DLS,300,False,0.9798731803894043,252.39989,19.15838623046875
general,cold,DLS,15,True,0.053940773010253906,4.055481,0.029131092131137848
general,cold,DLS,31,True,0.09554243087768555,4.5283394,0.11146437376737595
general,cold,DLS,16,True,0.051889657974243164,3.871082,0.0
general,cold,DLS,38,True,0.11567449569702148,4.740027,0.07397206872701645
general,cold,DLS,30,True,0.09094667434692383,4.7509947,0.04323570057749748
